Sample_1	Sample_2	Sample_3	Sample_4	Sample_5
1.046	0.984	1.121	1.06	1.016
1.112	0.999	1.002	1.035	1.025
1.058	0.957	0.967	1.03	0.995
0.99	0.957	0.995	0.937	0.929
1.126	1.166	1.097	1.107	1.035
1.017	1.102	1.018	0.912	1.009
1.08	1.009	1.087	1.053	1.135
0.994	1.019	1.051	0.945	1.023
0.957	0.994	1.015	0.995	1.032
1.005	1.021	0.981	0.911	0.99
0.948	1.006	0.91	0.93	0.918
0.982	0.997	1.045	1.028	1.007
0.977	0.943	0.907	1.013	0.878
0.919	0.96	0.969	0.955	0.92
0.99	0.973	0.972	0.993	0.952
0.966	0.948	0.936	0.998	0.96
0.913	0.933	0.958	1.009	0.997
1.066	1.033	1.026	0.994	1.013
0.982	0.938	0.98	0.932	0.973
0.969	0.964	0.909	0.909	0.961
0.967	1.052	0.931	0.98	1.035
0.888	0.836	0.999	0.936	0.89
1.043	1.083	0.991	1.054	1.006
0.986	1.015	0.987	1.002	1.061
1	0.962	1.002	0.98	0.973
0.874	0.906	0.805	0.834	0.956
0.94	0.931	1.011	0.93	0.977
0.509	0.575	0.46	0.505	0.516
0.879	0.953	0.994	0.94	1.025
0.919	0.911	1.002	0.989	0.917
0.961	0.967	0.975	0.923	0.93
1.187	1.186	1.197	1.209	1.157
0.984	0.969	0.962	1.053	0.929
1.013	1.059	0.959	0.98	1.045
1.061	1.146	1.095	1.054	1.138
1.001	1.101	0.939	1.033	1.054
0.981	0.959	0.956	0.957	0.981
1.007	1.018	0.99	1.015	1.082
0.889	0.912	0.957	1.014	0.924
0.951	0.926	0.918	1.006	0.952
1.251	1.297	1.249	1.319	1.262
0.991	1.024	0.953	1.001	1.066
1.084	1.236	1.168	1.236	1.092
0.9	1.006	0.882	0.912	0.922
1.262	1.397	1.226	1.318	1.272
0.931	0.933	0.918	0.969	0.981
0.919	0.957	0.977	0.966	0.961
1.141	1.156	1.131	1.152	1.153
0.955	1.002	1.052	1.035	1.051
0.976	1.096	0.954	1.006	1.149
0.93	0.949	0.974	0.948	0.947
0.857	0.85	0.934	0.868	0.878
0.946	0.855	0.876	0.937	0.984
0.951	1.06	0.963	1.097	0.991
0.926	1.053	1.028	1.061	0.995
1.072	1.08	1.048	1.021	0.99
0.893	0.904	0.925	0.936	0.907
0.889	0.96	0.989	0.93	1.016
0.982	0.92	1.07	1.015	0.95
1.017	1.02	1.07	1.068	1.052
1.063	0.974	0.99	1.113	1.087
1.147	1.168	1.24	1.167	1.129
0.968	1.019	0.979	0.999	1.02
1.087	1.013	1.069	1.096	1.002
0.945	1.07	1.018	1.004	0.87
0.943	0.96	1.013	0.987	0.967
0.972	0.925	1.011	0.985	1.023
1.145	1.207	1.064	1.127	1.181
0.948	0.972	0.971	0.954	0.969
0.98	0.941	0.974	1.027	0.888
1.021	0.955	1.003	0.976	0.92
0.92	0.904	0.932	0.948	0.896
