"Year","N","doses_per_head","sd","se","ci"
1986,9,1.31777777777778,0.874225053658636,0.291408351219545,0.671988862945299
1987,9,1.39333333333333,1.15885719568893,0.386285731896308,0.890776495123255
1988,9,1.44333333333333,1.19731992382988,0.399106641276628,0.92034156517135
1989,9,1.17,1.06071909570819,0.35357303190273,0.81534087366437
1990,8,1.5025,1.14807603033448,0.405906173183621,0.95981558098121
1992,8,1.03375,0.728225583181475,0.257466624050575,0.608811823205711
1993,8,1.0325,0.646280567113519,0.228494685777528,0.540304075349616
1994,9,0.992222222222222,0.578938204340018,0.192979401446673,0.445011297745252
1995,8,0.945,0.583609458456595,0.206337102819633,0.487909717330699
1997,8,1.0375,0.571757940790631,0.202146958565156,0.478001600608889
1998,8,1.1,0.498368767652457,0.176199967569318,0.41664671644427
1999,8,1.065,0.66086523372232,0.233651144107743,0.552497161769569
2000,8,0.91625,1.33248358338855,0.471104088816898,1.11398415344096
2001,8,1.52375,0.545839785494399,0.19298350688225,0.456333480531191
2002,9,2.03111111111111,0.505802442769023,0.168600814256341,0.388794174873912
2003,8,1.7375,0.69339228229254,0.245151192415736,0.579690454893138
2004,8,1.64625,0.349118788625632,0.123432131438409,0.291870611425049
2005,7,1.69857142857143,0.303668051849854,0.114775735187169,0.28084610665336
2006,7,1.57,0.629655990733564,0.237987594714715,0.582334665932921
2007,7,1.75428571428571,0.525574515581351,0.198648494808785,0.486075356159726
2008,4,2.575,0.98415784641828,0.49207892320914,1.56601475107491
2009,6,1.71166666666667,0.183457533687409,0.0748962245006011,0.192526874258985
2010,7,1.89857142857143,0.298408476836063,0.112787802688829,0.275981811063895
