YEAR	COUNTRY
2009	Ecu
2008	Ecu
2009	Ecu
2009	Ecu
2009	Ecu
2009	Ecu
2009	Ecu
2009	Ecu
2009	Ecu
2009	Ecu
2009	Ecu
2009	Ecu
2009	Ecu
2009	Ecu
2009	Ecu
2009	Ecu
2009	Ecu
2009	Ecu
2009	Ecu
2010	Ecu
2009	Ecu
2010	Ecu
2010	Ecu
2010	Ecu
2010	Ecu
2010	Ecu
2010	Ecu
2010	Ecu
2010	Ecu
2010	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2005	Ecu
2005	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2004	Ecu
2005	Ecu
2005	Ecu
2003	Ecu
2003	Ecu
2003	Ecu
2004	Ecu
2003	Ecu
2003	Ecu
2002	Ecu
2003	Ecu
2003	Ecu
2003	Ecu
2003	Ecu
2004	Peru
2006	Ecu
2008	Ecu
1998	Col
1998	Col
1998	Col
1998	Col
1999	Col
1995	Col
2000	Col
2000	Col
2000	Col
2000	Col
2002	Col
2002	Ecu
2007	Ecu
2007	Ecu
2005	Ecu
2005	Ecu
2005	Ecu
2005	Ecu
2005	Ecu
2006	Ecu
2006	Ecu
2005	Ecu
2005	Ecu
2005	Ecu
2005	Ecu
2005	Ecu
2005	Ecu
2005	Ecu
2005	Ecu
2005	Ecu
1994	Col
1994	Col
1994	Col
2002	Ecu
1994	Col
2003	Ven
2008	Col
2008	Col
2005	Ven
2005	Ven
2006	Ven
2007	Ven
2004	Ven
2005	Ecu
1994	Col
1994	Col
1994	Col
1994	Col
1994	Col
1994	Col
1994	Col
1994	Col
1994	Col
1994	Col
1994	Col
1994	Col
1995	Col
1995	Col
1995	Col
1995	Col
1995	Col
1995	Col
2000	Col
2002	Bol
2002	Bol
2002	Bol
2001	Bol
2000	Bol
2007	Bol
2000	Bol
2001	Bol
2001	Bol
2001	Bol
2000	Bra
2000	Bol
2003	Bol
2003	Bol
2003	Par
2003	Bol
2006	Arg
2005	Bra
2005	Bra
2005	Bra
2005	Bra
2005	Bra
2005	Bra
2005	Bra
2005	Bra
2005	Bra
2003	Bra
2005	Bra
2005	Bra
2005	Bra
1998	Bra
2000	Uru
2002	Par
2000	Arg
