"","year","cattle","goats","pigs","sheep","horses"
"1",1986,27894,0,7487,84720,4258
"2",1987,19642,0,5634,14059,3712
"3",1988,6028,0,113,55641,1606
"4",1989,120078,36,153345,35437,4584
"5",1990,194729,29,13509,69707,3711
"6",1991,184382,86,932,23570,9707
"7",1992,235051,248,3668,31663,6891
"8",1993,84382,384,1767,113385,6054
"9",1994,391652,62,25618,183166,5831
"10",1995,413958,0,7640,96113,11973
"11",1996,169943,50,7561,147020,2795
"12",1997,17861296,238,3249,334018,20992
"13",1998,2303863,0,10102,134119,6809
"14",1999,67934,20,5662,140058,2717
"15",2000,90992,0,3808,206765,2842
"16",2001,13932,76,2325,49539,2571
"17",2002,38528,150,2250,3800,2063
"18",2003,2823,40,1995,10703,1177
"19",2004,256146,33,2253,1132,2144
"20",2005,138771,78,2519,6493,2688
"21",2006,248051,115,1899,1145,2043
"22",2007,389947,17,2765,37379,1039
"23",2008,318217,48,3150,13579,1764
"24",2009,426743,580,16097,34980,2052
"25",2010,872347,0,17878,5849,2202
"26",2011,354204,20,19835,6414,3968
"27",2012,654889,0,15066,14119,1555
"28",2013,727245,14,11785,1834,1608
